nom,salaire,prime,etat civil,date recrutement,classe
Ali,1200.675,100.56,celibataire,20/10/2018,junior
Sonia,2800.786,400.876,marie,30/11/2005,senior
Rahma,,130.987,celibataire,04/02/2017,junior
Salma,2500.876,340.6,marie,03/02/2010,senior
Ahmed,3100.76,,marie,09/09/2004,senior
Saleh,1300.876,150.9,celibataire,01/01/2017,junior
Ameni,1100.66,130.87,celibataire,11/05/2019,junior
Mehdi,3000.76,,marie,07/07/2000,senior
Salem,1505.76,159.7,celibataire,21/11/2017,junior
Sameh,2700.33,400,marie,19/02/1999,senior
Wajdi,1200.98,,celibataire,27/11/2015,junior
Moufida,3700.44,500,marie,09/12/1991,senior
